location_name,horizon,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
Pennsylvania,2,0.00917697254382172,0.02467206558547456,0.069213187520063,0.0092,0.0247,0.0692,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Rhode Island,0,0.02439070297528528,0.03697254248335199,0.06031967829268873,0.0244,0.037,0.0603,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Rhode Island,1,0.02171596285121999,0.04231650035171266,0.09540139428913516,0.0217,0.0423,0.0954,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Rhode Island,2,0.01643050144200681,0.04146692228820264,0.11008710971127857,0.0164,0.0415,0.1101,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
South Carolina,0,0.02101957570786491,0.03370503690014587,0.05962034391376482,0.021,0.0337,0.0596,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
South Carolina,1,0.01988218248093255,0.03880618848692493,0.0891128908261137,0.0199,0.0388,0.0891,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
South Carolina,2,0.0161311143148851,0.034675016698281,0.09669287176798257,0.0161,0.0347,0.0967,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
South Dakota,0,0.00444025464390224,0.00846701342093159,0.01812207258418638,0.0044,0.0085,0.0181,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
South Dakota,1,0.00567735148942974,0.01019338466343958,0.0305,0.0057,0.0102,0.0305,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
South Dakota,2,0.00386807396589059,0.01058200110019766,0.03238793648256884,0.0039,0.0106,0.0324,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Tennessee,0,0.01408814566506189,0.02327321112981852,0.0386680371273616,0.0141,0.0233,0.0387,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Tennessee,1,0.01354009364152349,0.0278,0.0608,0.0135,0.0278,0.0608,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Tennessee,2,0.01140353415660873,0.02650125823965686,0.06454952834157106,0.0114,0.0265,0.0645,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Texas,0,0.0360938590316464,0.05374379796835551,0.07750855317677571,0.0361,0.0537,0.0775,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Texas,1,0.03455193980613273,0.06357253380857512,0.12197326827092064,0.0346,0.0636,0.122,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Texas,2,0.02563231106452118,0.05585019834942131,0.1267316880219911,0.0256,0.0559,0.1267,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Utah,0,0.02286293387582933,0.03696274455724532,0.06412501053330717,0.0229,0.037,0.0641,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Utah,1,0.02085959049447416,0.04266478624994168,0.0892,0.0209,0.0427,0.0892,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Utah,2,0.01506781267609872,0.0387840570099591,0.09773240322683058,0.0151,0.0388,0.0977,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Vermont,0,0.01023072050133564,0.01676446072543036,0.03536418030804848,0.0102,0.0168,0.0354,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Vermont,1,0.00966015534146767,0.02092149434293156,0.06507012200482025,0.0097,0.0209,0.0651,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Vermont,2,0.00740922105677635,0.02112147966312066,0.06185956911999047,0.0074,0.0211,0.0619,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Virginia,0,0.02156624833088632,0.0352,0.05402272383129339,0.0216,0.0352,0.054,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Virginia,1,0.01977480719977275,0.04017231842321134,0.0833,0.0198,0.0402,0.0833,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Virginia,2,0.01405958907214811,0.03787850883861708,0.10717342685485497,0.0141,0.0379,0.1072,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Washington,0,0.01087877272265448,0.017989887104242,0.03112035688725095,0.0109,0.018,0.0311,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Washington,1,0.0102920636237049,0.02,0.04718741490555515,0.0103,0.02,0.0472,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Washington,2,0.00726253419439011,0.01964301273396513,0.0499082442222061,0.0073,0.0196,0.0499,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
West Virginia,0,0.00848071125617671,0.01503513461399453,0.02812905156310698,0.0085,0.015,0.0281,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
West Virginia,1,0.00802966810851697,0.01946018346296187,0.04459633946211569,0.008,0.0195,0.0446,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
West Virginia,2,0.00780143470011718,0.01877654278591321,0.05367146846816559,0.0078,0.0188,0.0537,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Wisconsin,0,0.01791038729614682,0.028816471812023,0.05044140385852149,0.0179,0.0288,0.0504,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Wisconsin,1,0.01560948098301646,0.03463380802820145,0.08274748943228782,0.0156,0.0346,0.0827,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Wisconsin,2,0.01187339594024577,0.02845849922636228,0.07522710539733443,0.0119,0.0285,0.0752,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Wyoming,0,0,0,0.0086,0,0,0.0086,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Wyoming,1,0,9.09985739165188e-5,0.0154,0,1e-4,0.0154,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Wyoming,2,0,8.642511522299746e-5,0.0188,0,1e-4,0.0188,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
