location_name,horizon,quantile_0.025,quantile_0.5,quantile_0.975,quantile_0.025_rounded,quantile_0.5_rounded,quantile_0.975_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
Delaware,1,0.01635264867986859,0.03589983869780645,0.0824,0.0164,0.0359,0.0824,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Delaware,2,0.01230511011814948,0.03345099062527133,0.08737839320569828,0.0123,0.0335,0.0874,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
District of Columbia,0,0.02918990981595113,0.04745470056951335,0.07124816665271771,0.0292,0.0475,0.0712,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
District of Columbia,1,0.02677889391232804,0.05400893296106228,0.10461257967914804,0.0268,0.054,0.1046,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
District of Columbia,2,0.01889632238387285,0.04926085615549178,0.11941159675227632,0.0189,0.0493,0.1194,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Florida,0,0.02332389085006099,0.0360141819659839,0.06022946235121319,0.0233,0.036,0.0602,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Florida,1,0.02167009685196379,0.04008599361185605,0.0858,0.0217,0.0401,0.0858,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Florida,2,0.01690540033924985,0.03823268077010665,0.0887969409708335,0.0169,0.0382,0.0888,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Georgia,0,0.02297494905877369,0.03579871074696385,0.05523019261353103,0.023,0.0358,0.0552,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Georgia,1,0.02115804132349282,0.04093202341023935,0.08343210566323046,0.0212,0.0409,0.0834,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Georgia,2,0.01658209089497773,0.0361058565196257,0.09683623490883685,0.0166,0.0361,0.0968,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Hawaii,0,0.04393958342248262,0.0725,0.10957875290549964,0.0439,0.0725,0.1096,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Hawaii,1,0.03800882905364367,0.07472747071712503,0.1637817715987675,0.038,0.0747,0.1638,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Hawaii,2,0.03002690440190354,0.07084693501823483,0.2083824216377773,0.03,0.0708,0.2084,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Idaho,0,0.01998405009310778,0.0305140681546466,0.05323314026821912,0.02,0.0305,0.0532,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Idaho,1,0.0176595363156597,0.03550872617924599,0.07150536269944979,0.0177,0.0355,0.0715,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Idaho,2,0.0130770549811347,0.03297190806351049,0.08030769174081821,0.0131,0.033,0.0803,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Illinois,0,0.01530492728247767,0.02576596230211137,0.04324689295180828,0.0153,0.0258,0.0432,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Illinois,1,0.014527021904512,0.0304621629723138,0.06985427508030209,0.0145,0.0305,0.0699,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Illinois,2,0.0106670210662702,0.02544036629136935,0.0687534769906238,0.0107,0.0254,0.0688,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Indiana,0,0.01751562997235013,0.02947167336984726,0.05035555541667134,0.0175,0.0295,0.0504,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Indiana,1,0.01598588208413205,0.0344450271602882,0.082253044384607,0.016,0.0344,0.0823,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Indiana,2,0.01128094122337893,0.0304059285554673,0.0827443160358621,0.0113,0.0304,0.0827,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Iowa,0,0.00792747681841477,0.01416706252429199,0.02508630228353699,0.0079,0.0142,0.0251,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Iowa,1,0.00765922623828346,0.0168,0.0393,0.0077,0.0168,0.0393,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Iowa,2,0.00632135279546084,0.01435463755793527,0.04024457863225225,0.0063,0.0144,0.0402,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Kansas,0,0.00896770591316382,0.01550458493993759,0.02804232205829233,0.009,0.0155,0.028,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Kansas,1,0.00859474313519284,0.01819896370491933,0.04415666669741653,0.0086,0.0182,0.0442,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Kansas,2,0.0071278410734533,0.01785841512532773,0.04591311096370291,0.0071,0.0179,0.0459,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Kentucky,0,0.01462347074929694,0.02392575620555177,0.04455171814683316,0.0146,0.0239,0.0446,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Kentucky,1,0.01377294485312726,0.0283,0.06652400579478666,0.0138,0.0283,0.0665,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Kentucky,2,0.01018843221627022,0.02501347037382453,0.06613006167307564,0.0102,0.025,0.0661,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Louisiana,0,0.03218121861116476,0.05253866904632418,0.09097462578977104,0.0322,0.0525,0.091,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Louisiana,1,0.02746407290759809,0.05772769611593446,0.11893477952392924,0.0275,0.0577,0.1189,2025-12-27,2025-12-20,"December 27, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Louisiana,2,0.02145668536129103,0.05433674044416255,0.13420606545340097,0.0215,0.0543,0.1342,2026-01-03,2025-12-20,"January 03, 2026","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
Maine,0,0.00942470239491469,0.0169362042903222,0.03175561915823452,0.0094,0.0169,0.0318,2025-12-20,2025-12-20,"December 20, 2025","December 20, 2025",2025-12-17,"December 17, 2025",FluSight-ensemble
