location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target_end_date,reference_date,target_end_date_formatted,reference_date_formatted,forecast_due_date,forecast_due_date_formatted,model
Nebraska,2,0,0.40437145764284804,2.476775178062444,0,8,49,0,0.4,2.48,0,8,49,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Nevada,0,0.46960468051854376,1.0957442545432687,2.25410246648901,15,35,72,0.47,1.1,2.25,15,35,72,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Nevada,1,0.25045582960989,0.9079023823358512,2.598479232202609,8,29,83,0.25,0.91,2.6,8,29,83,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Nevada,2,0.125227914804945,0.7826744675309063,2.817628083111263,4,25,90,0.13,0.78,2.82,4,25,90,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
New Hampshire,0,0.14264785807108712,0.99853500649761,2.282365729137394,2,14,32,0.14,1,2.28,2,14,32,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
New Hampshire,1,0.07132392903554356,0.7132392903554357,2.8529571614217426,1,10,40,0.07,0.71,2.85,1,10,40,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
New Hampshire,2,0,0.5705914322843485,2.5676614452795685,0,8,36,0,0.57,2.57,0,8,36,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
New Jersey,0,0.9041162150982888,2.01273490742119,3.681044590043033,84,187,342,0.9,2.01,3.68,84,187,342,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
New Jersey,1,0.3228986482493888,1.6144932412469442,3.950126796917523,30,150,367,0.32,1.61,3.95,30,150,367,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
New Jersey,2,0.17221261239967406,1.4099907640223313,3.907073643817605,16,131,363,0.17,1.41,3.91,16,131,363,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
New Mexico,0,0.5202492845389953,1.702634022127621,3.499858823262332,11,36,74,0.52,1.7,3.5,11,36,74,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
New Mexico,1,0.28377233702127014,1.2769755165957157,3.4525634337587867,6,27,73,0.28,1.28,3.45,6,27,73,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
New Mexico,2,0.1891815580141801,0.8986124005673555,3.1214957072339717,4,19,66,0.19,0.9,3.12,4,19,66,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
New York,0,0.9094989294482264,1.8547646707286864,3.3416421340401126,178,363,654,0.91,1.85,3.34,178,363,654,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
New York,1,0.41387310834441765,1.4051247505520352,3.382518490419808,81,275,662,0.41,1.41,3.38,81,275,662,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
New York,2,0.189053148256092,1.1343188895365521,3.402956668609656,37,222,666,0.19,1.13,3.4,37,222,666,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
North Carolina,0,0.5814226600345107,1.3289660800788816,2.5933296423761507,63,144,281,0.58,1.33,2.59,63,144,281,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
North Carolina,1,0.25841007112644915,0.9413509733892077,2.925571162395871,28,102,317,0.26,0.94,2.93,28,102,317,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
North Carolina,2,0.09228931111658899,0.7106276955977353,2.8886554379492355,10,77,313,0.09,0.71,2.89,10,77,313,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
North Dakota,0,0.3826891823973181,1.5307567295892723,3.826891823973181,3,12,30,0.38,1.53,3.83,3,12,30,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
North Dakota,1,0.12756306079910604,1.2756306079910604,3.699328763174075,1,10,29,0.13,1.28,3.7,1,10,29,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
North Dakota,2,0.12756306079910604,1.1480675471919544,3.954454884772287,1,9,31,0.13,1.15,3.95,1,9,31,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Ohio,0,0.5345354441544095,1.467851299027188,3.402360525490765,63,173,401,0.53,1.47,3.4,63,173,401,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Ohio,1,0.2375713085130709,1.0945249570780766,3.198727975336704,28,129,377,0.24,1.09,3.2,28,129,377,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Ohio,2,0.12727034384628796,0.7466526838982228,3.3938758359010124,15,88,400,0.13,0.75,3.39,15,88,400,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Oklahoma,0,0.12334033248606747,0.7153739284191913,2.096785652263147,5,29,85,0.12,0.72,2.1,5,29,85,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Oklahoma,1,0.07400419949164048,0.4933613299442699,1.899441120285439,3,20,77,0.07,0.49,1.9,3,20,77,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Oklahoma,2,0.024668066497213495,0.4193571304526294,2.1954579182520013,1,17,89,0.02,0.42,2.2,1,17,89,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Oregon,0,0.49606010169704523,1.2047173898356813,2.55116623729909,21,51,108,0.5,1.2,2.55,21,51,108,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Oregon,1,0.2598410056508332,0.8976325649756056,2.5747881469037113,11,38,109,0.26,0.9,2.57,11,38,109,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Oregon,2,0.1417314576277272,0.708657288138636,2.5039224180898474,6,30,106,0.14,0.71,2.5,6,30,106,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Pennsylvania,0,1.5970148321016646,3.386905851655221,6.897252463279653,207,439,894,1.6,3.39,6.9,207,439,894,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Pennsylvania,1,0.7715047498075674,2.5691108168591996,6.118032665974009,100,333,793,0.77,2.57,6.12,100,333,793,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Pennsylvania,2,0.4860479923787675,1.9673371120092968,5.894296288529815,63,255,764,0.49,1.97,5.89,63,255,764,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Puerto Rico,0,1.5597261245703344,5.053512643607883,9.171189612473567,50,162,294,1.56,5.05,9.17,50,162,294,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Puerto Rico,1,1.4349480346047077,4.492011238762563,9.389551269913413,46,144,301,1.43,4.49,9.39,46,144,301,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Puerto Rico,2,0.7174740173023538,3.8681207889344296,9.51432935987904,23,124,305,0.72,3.87,9.51,23,124,305,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Rhode Island,0,0.2737321184493623,1.0949284737974492,2.8285652239767436,3,12,31,0.27,1.09,2.83,3,12,31,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Rhode Island,1,0,0.821196355348087,2.737321184493623,0,9,30,0,0.82,2.74,0,9,30,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Rhode Island,2,0,0.6387082763818454,2.737321184493623,0,7,30,0,0.64,2.74,0,7,30,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
South Carolina,0,0.5210703156476486,1.1724082102072093,2.4750839993263307,28,63,133,0.52,1.17,2.48,28,63,133,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
South Carolina,1,0.27914481195409746,0.9304827065136582,2.847277081931794,15,50,153,0.28,0.93,2.85,15,50,153,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
South Carolina,2,0.13026757891191215,0.7443861652109265,2.307597112153872,7,40,124,0.13,0.74,2.31,7,40,124,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
South Dakota,0,0,0.4351051540381021,2.066749481680985,0,4,19,0,0.44,2.07,0,4,19,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
South Dakota,1,0,0.5438814425476277,2.5018546357190874,0,5,23,0,0.54,2.5,0,5,23,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
South Dakota,2,0,0.4351051540381021,2.610630924228613,0,4,24,0,0.44,2.61,0,4,24,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Tennessee,0,0.6875756070064796,1.627730008423503,3.2694921720920354,49,116,233,0.69,1.63,3.27,49,116,233,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Tennessee,1,0.3929003468608455,1.2909582825427781,3.3536851035622166,28,92,239,0.39,1.29,3.35,28,92,239,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Tennessee,2,0.25257879441054354,1.0383794881322346,3.56416743223767,18,74,254,0.25,1.04,3.56,18,74,254,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Texas,0,0.38684337803308566,0.9310467742491214,1.8489802136496638,118,284,564,0.39,0.93,1.85,118,284,564,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Texas,1,0.22620502613799076,0.7015634143989858,2.176813584864143,69,214,664,0.23,0.7,2.18,69,214,664,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Texas,2,0.1540816844708053,0.557316731064615,2.176813584864143,47,170,664,0.15,0.56,2.18,47,170,664,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Utah,0,0.4681464385467096,1.2288844011851126,2.194436430687701,16,42,75,0.47,1.23,2.19,16,42,75,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Utah,1,0.29259152409169353,1.0240703343209272,2.25295473550604,10,35,77,0.29,1.02,2.25,10,35,77,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Utah,2,0.14629576204584677,0.7607379626384031,2.25295473550604,5,26,77,0.15,0.76,2.25,5,26,77,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Vermont,0,1.081141190861577,3.2434235725847302,5.869052178962846,7,21,38,1.08,3.24,5.87,7,21,38,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Vermont,1,0.6177949662066153,2.6256286063781156,6.0235009205145,4,17,39,0.62,2.63,6.02,4,17,39,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Vermont,2,0.30889748310330767,2.4711798648264613,6.332398403617806,2,16,41,0.31,2.47,6.33,2,16,41,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Virginia,0,0.5507304176900117,1.2506169901710684,2.501233980342137,48,109,218,0.55,1.25,2.5,48,109,218,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Virginia,1,0.2868387592135478,0.9178840294833529,2.466813329236511,25,80,215,0.29,0.92,2.47,25,80,215,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Virginia,2,0.1950503562652125,0.6998865724810567,2.535654631447762,17,61,221,0.2,0.7,2.54,17,61,221,2025-04-26,2025-04-12,"April 26, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Washington,0,0.4607775877781305,1.023950195062512,1.9967028803718987,36,80,156,0.46,1.02,2,36,80,156,2025-04-12,2025-04-12,"April 12, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
Washington,1,0.19199066157422104,0.793561401173447,2.0990978998781498,15,62,164,0.19,0.79,2.1,15,62,164,2025-04-19,2025-04-12,"April 19, 2025","April 12, 2025",2025-04-09,"April 09, 2025",FluSight-ensemble
